City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,63.0,64,0,3.67,clear sky
1,Hobart,AU,-42.88,147.33,70.0,45,75,12.75,broken clouds
2,Wajima,JP,37.4,136.9,44.6,65,75,6.93,broken clouds
3,Rikitea,PF,-23.12,-134.97,75.83,80,69,17.9,broken clouds
4,Punta Arenas,CL,-53.15,-70.92,39.2,71,40,31.09,scattered clouds
5,Port Elizabeth,ZA,-33.92,25.57,64.4,77,75,20.8,broken clouds
6,Mataura,NZ,-46.19,168.86,63.0,49,100,3.0,overcast clouds
7,Yar-Sale,RU,66.83,70.83,2.62,94,0,8.57,clear sky
8,Yabrud,SY,33.97,36.66,51.8,76,75,6.93,broken clouds
9,Flinders,AU,-34.58,150.86,102.0,35,37,10.0,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,39.2,69,40,5.82,scattered clouds
11,Hilo,US,19.73,-155.09,80.6,57,40,9.17,scattered clouds
12,Arraial Do Cabo,BR,-22.97,-42.03,74.75,86,0,21.5,clear sky
13,Touros,BR,-5.2,-35.46,78.8,74,40,9.17,scattered clouds
14,Saint-Francois,FR,46.42,3.91,39.99,100,0,1.12,mist
15,Vaini,TO,-21.2,-175.2,84.2,79,40,23.04,scattered clouds
16,Lavrentiya,RU,65.58,-171.0,23.41,93,69,10.36,broken clouds
17,Saldanha,ZA,-33.01,17.94,60.8,72,100,4.7,overcast clouds
18,Atuona,PF,-9.8,-139.03,78.8,74,60,21.18,light rain
19,Faanui,PF,-16.48,-151.75,81.25,71,66,1.7,broken clouds
20,Hadejia,NG,12.45,10.04,68.92,26,40,7.7,scattered clouds
21,Oistins,BB,13.07,-59.53,77.0,88,40,14.99,scattered clouds
22,Zeya,RU,53.75,127.27,10.31,82,100,5.26,overcast clouds
23,Manacapuru,BR,-3.3,-60.62,75.2,100,75,1.74,thunderstorm
24,Amurzet,RU,47.7,131.1,17.56,79,0,13.89,clear sky
25,Umm Kaddadah,SD,13.6,26.69,65.88,29,0,16.82,clear sky
26,Nelson Bay,AU,-32.72,152.15,98.01,26,80,17.22,broken clouds
27,Yellowknife,CA,62.46,-114.35,-2.99,76,20,11.41,light snow
28,Kavieng,PG,-2.57,150.8,82.69,79,100,15.26,moderate rain
29,Souillac,MU,-20.52,57.52,75.2,78,75,6.93,shower rain
30,Beira,MZ,-19.84,34.84,82.4,78,40,13.87,scattered clouds
31,Katsuura,JP,35.13,140.3,62.01,48,20,18.34,few clouds
32,Nikolskoye,RU,59.7,30.79,36.0,91,90,11.18,overcast clouds
33,Kununurra,AU,-15.77,128.73,87.8,62,75,17.22,broken clouds
34,Olafsvik,IS,64.89,-23.71,34.27,83,85,39.28,light rain
35,Gazanjyk,TM,39.24,55.52,37.08,85,0,9.04,clear sky
36,Mitu,CO,1.2,-70.17,73.74,97,100,1.74,overcast clouds
37,Pevek,RU,69.7,170.31,11.77,92,64,4.27,broken clouds
38,Miri,MY,4.41,114.01,78.8,88,40,9.17,scattered clouds
39,Yulara,AU,-25.24,130.99,102.2,10,0,6.93,clear sky
40,Albany,US,42.6,-73.97,45.0,86,95,2.71,overcast clouds
41,Naze,JP,28.37,129.48,66.2,63,75,16.11,broken clouds
42,Makakilo City,US,21.35,-158.09,75.2,83,90,8.05,light rain
43,Puerto Del Rosario,ES,28.5,-13.86,64.4,72,0,8.05,clear sky
44,Castro,BR,-24.79,-50.01,64.27,96,100,10.4,overcast clouds
45,Lincoln,US,40.8,-96.67,41.0,59,1,5.23,clear sky
46,Butaritari,KI,3.07,172.79,82.06,77,28,15.75,scattered clouds
47,Darhan,MN,49.49,105.92,7.68,92,70,0.51,broken clouds
48,Nyrob,RU,60.73,56.72,6.26,92,11,1.39,few clouds
49,Kalabo,ZM,-14.97,22.68,67.64,91,100,5.21,moderate rain
50,Hithadhoo,MV,-0.6,73.08,81.28,74,6,9.4,clear sky
51,Boa Vista,BR,2.82,-60.67,80.6,74,40,2.24,scattered clouds
52,Deputatskiy,RU,69.3,139.9,-10.23,91,97,4.83,overcast clouds
53,Santa Cruz,BO,-17.8,-63.17,71.6,94,75,2.24,broken clouds
54,Mar Del Plata,AR,-38.0,-57.56,68.0,68,0,8.05,clear sky
55,Bengkulu,ID,-3.8,102.27,74.77,94,100,3.27,moderate rain
56,Pathalgaon,IN,22.57,83.47,63.99,65,47,4.88,scattered clouds
57,Malacky,SK,48.44,17.02,33.01,100,14,1.88,few clouds
58,Yantzaza,EC,-3.83,-78.76,69.67,79,99,1.36,overcast clouds
59,Port-Cartier,CA,50.03,-66.87,30.99,100,48,2.24,scattered clouds
60,Einbeck,DE,51.82,9.87,37.99,93,0,1.01,clear sky
61,Fortuna,US,40.6,-124.16,48.99,78,1,3.02,clear sky
62,Salalah,OM,17.02,54.09,73.4,69,20,5.82,few clouds
63,Kahului,US,20.89,-156.47,80.6,57,40,18.34,scattered clouds
64,Kruisfontein,ZA,-34.0,24.73,63.0,78,98,1.99,overcast clouds
65,Kodiak,US,57.79,-152.41,33.8,80,75,4.7,broken clouds
66,Srednekolymsk,RU,67.45,153.68,-3.48,92,100,6.29,overcast clouds
67,Riachao Das Neves,BR,-11.75,-44.91,70.23,81,99,2.91,overcast clouds
68,Havre-Saint-Pierre,CA,50.23,-63.6,32.0,97,90,2.24,mist
69,Zyryanskoye,RU,56.83,86.63,5.79,94,0,6.35,clear sky
70,Ponta Delgada,PT,37.73,-25.67,57.2,58,75,18.34,broken clouds
71,Cape Town,ZA,-33.93,18.42,64.0,67,0,20.8,clear sky
72,Bijapur,IN,16.83,75.7,65.14,87,100,15.57,overcast clouds
73,Clyde River,CA,70.47,-68.59,-7.6,76,75,13.87,broken clouds
74,Ouadda,CF,8.08,22.4,69.1,31,0,5.19,clear sky
75,El Ejido,ES,36.78,-2.81,53.6,71,0,9.17,clear sky
